,strain,pop_num,mse,freq_s,deltag_s,deltag_r,hillcoef,K50_s,K50_r
0,65_1,two,0.0906243654506191,0.9997499523490314,1.8569312326417897,0.015262474588339748,32.924526280479164,1.1025140028419944,5.032113707224112
1,65_2,two,0.27744800112089735,0.9996508521560293,0.2524477903199974,0.025041081673772895,29.808732330959565,0.9754756961154609,7.872472325980164
2,65_4,two,0.09368116457558005,0.9996178270009203,1.0975625514615273,0.09722016290958149,3.677555217896199,2.0612924871044074,3.7363341195197064
3,65_5,two,0.19635878423375275,0.9994422839210527,2.1929364767242725,0.11547330530719087,5.275198826857793,2.1264291727546007,4.201142126274591
4,67_1,two,0.18889295784123472,0.9993914189822438,7.999380769393396,0.038314686425562516,37.842653191346585,1.1249747398453214,5.6585359114422165
5,67_4,two,0.18708447588375843,0.9996850143661286,1.4614816987917902,0.11700390195326912,1.7524158202804163,6.4050793922748825,6.405082089900518
6,67_5,two,0.08566472701720554,0.9999109017156711,2.2546268390236888,0.09751233753503127,1.7755929422980614,7.968321806887048,7.968323322453141
7,478_1,one,0.20563190534066939,1.0,0.17269865354289682,,1.2808645250311805,0.22871527446756773,
8,478_4,two,0.13274979056548175,0.9990716620821051,0.9428663408462075,0.13636324009597964,2.0504134344163845,3.8422376718092104,3.842237679754553
9,478_5,two,0.10625463460693609,0.9954191603077399,0.7947918168210089,0.17008689738323035,2.266724807081378,3.0814901240103914,3.0814993326710867
10,485_1,two,0.000723762336569028,0.9992258501290205,0.18131156502326526,0.18131152745723927,3.2088629530009736,1.0306406043260459,11.118755155323278
11,485_3,two,0.0007237624655788248,0.999225849883049,0.18131157298282455,0.18131156959198294,3.2088633077983433,1.0306405986017961,11.118754847118728
12,485_4,two,0.1460545625483445,0.9999598277745347,2.621131969543478,0.08796819034591369,1.5267678861748435,11.569012187835446,11.569018873280802
13,485_5,two,0.07294556150074628,0.9999314518978225,1.816273472224991,0.09918577647168021,1.5092123646937243,9.390247852718566,9.39024864335896
14,794_1,two,0.1026019292022966,0.9996000180445259,0.34690118963035593,0.019255518823292253,26.14535393818811,1.0069357925815987,3.8354115037317373
15,794_2,two,0.26119228488975005,0.9993001386301814,1.6136365520689964,0.024774771800343983,33.008797765060116,1.065814849705293,2.754619462059986
16,794_3,two,0.08063695172035357,0.999142857139895,0.23603304467474118,0.04184655441933122,34.43814589921562,0.4038222273787868,1.9890923330053372
17,794_4,two,0.1058750361433846,0.9998385515079783,0.36828955461967466,0.36828934892951526,1.6725448458090018,2.1258985320827257,322.8566751341196
18,794_5,two,0.04011213480527044,0.9999702190107519,0.37592718659639446,0.3759269740094488,2.6682653239067062,2.2395532570537267,45.13941361807627
